,1Salon,Area util_s1,Bloque_s1,Capacidad_s1,Ext_s1,Fijo/Movil_s1,Movil Express_s1,Tipo Mobiliario_s1
103,AU_403,"46,6",Au,36.0,5633.0,Movil,Si,Mesa trapezoidal con silla móviles
104,W_402,"81,8",W,40.0,5014.0,Fijo,Si,Silla móvil y mesa fija
105,AU_403,"46,6",Au,36.0,5633.0,Movil,Si,Mesa trapezoidal con silla móviles
106,AU_107,"46,3",Au,36.0,5605.0,Movil,Si,"Silla móvil, mesa móvil"
107,O_403,"57,8",O,50.0,5269.0,Fijo,No,Silla móvil y mesa fija
108,O_404,"57,8",O,50.0,5270.0,Fijo,No,Silla móvil y mesa fija
109,SD_702,"140,0",Sd,65.0,1117.0,Fijo,Si,Silla móvil y mesa fija
110,B_201,"122,8",B,51.0,1439.0,Fijo,No,Silla móvil y mesa fija
111,B_203,"88,6",B,53.0,1441.0,Fijo,No,Silla móvil y mesa fija
112,SD_702,"140,0",Sd,65.0,1117.0,Fijo,Si,Silla móvil y mesa fija
113,O_304,"64,2",O,56.0,5264.0,Fijo,No,Silla móvil y mesa fija
114,SD_201,"58,8",Sd,26.0,nan,Movil,Si,"Silla móvil, mesa móvil"
115,C_106,"42,3",C,22.0,nan,Movil,si,"Silla móvil, mesa móvil"
116,AU_402,"46,0",Au,40.0,5632.0,Movil,Si,"Silla móvil, mesa móvil"
117,AU_203,"59,8",Au,48.0,5610.0,Movil,SI,"Silla móvil, mesa móvil"
118,O_303,"64,2",O,56.0,5263.0,Fijo,No,Silla móvil y mesa fija
119,Q_306,"86,3",Q,48.0,1454.0,Fijo,SI,Silla móvil y mesa fija
120,SD_807,"140,4",Sd,82.0,1114.0,Fijo,Si,Silla móvil y mesa fija
121,R_110,"46,8",R,46.0,nan,Movil,No,Pupitre universitario
122,SD_704,"144,8",Sd,60.0,1106.0,Movil,Si,"Silla móvil, mesa móvil"
123,SD_704,"144,8",Sd,60.0,1106.0,Movil,Si,"Silla móvil, mesa móvil"
124,SD_704,"144,8",Sd,60.0,1106.0,Movil,Si,"Silla móvil, mesa móvil"
125,SD_305,"58,8",Sd,26.0,nan,Fijo,Si,Silla móvil y mesa fija
126,C_105,"86,7",C,60.0,nan,Fijo,si,Silla móvil y mesa fija
127,O_404,"57,8",O,50.0,5270.0,Fijo,No,Silla móvil y mesa fija
128,O_301,"64,2",O,56.0,5261.0,Fijo,No,Silla móvil y mesa fija
129,B_201,"122,8",B,51.0,1439.0,Fijo,No,Silla móvil y mesa fija
130,ML_511,"85,4",ML,61.0,1615.0,Fijo,Si,Silla móvil y mesa fija
131,AU_102,"62,6",Au,48.0,5602.0,Movil,Si,Mesa trapezoidal con silla móviles
132,AU_203,"59,8",Au,48.0,5610.0,Movil,SI,"Silla móvil, mesa móvil"
133,,,,,,,,
134,W_504,"82,3",W,42.0,5020.0,Fijo,Si,Silla móvil y mesa fija
135,AU_104,"62,6",Au,48.0,5604.0,Movil,Si,Mesa trapezoidal con silla móviles
136,O_302,"64,2",O,56.0,5262.0,Fijo,No,Silla móvil y mesa fija
137,O_402,"57,8",O,50.0,5268.0,Fijo,No,Silla móvil y mesa fija
138,B_203,"88,6",B,53.0,1441.0,Fijo,No,Silla móvil y mesa fija
139,AU_206,"59,8",Au,44.0,5613.0,Movil,SI,Mesa trapezoidal con silla móviles
140,O_403,"57,8",O,50.0,5269.0,Fijo,No,Silla móvil y mesa fija
141,C_207,"42,6",C,22.0,nan,Movil,si,"Silla móvil, mesa móvil"
142,Q_405,"114,9",Q,70.0,nan,Fijo,SI,Silla móvil y mesa fija
143,O_305,"72,7",O,62.0,5265.0,Fijo,No,Silla móvil y mesa fija
144,AU_102,"62,6",Au,48.0,5602.0,Movil,Si,Mesa trapezoidal con silla móviles
145,R_209,"172,1",R,192.0,nan,Fijo,No,Silla y superficie abatible fijas
146,R_210,"172,8",R,192.0,nan,Fijo,No,Silla y superficie abatible fijas
147,SD_806,"140,4",Sd,82.0,1164.0,Fijo,Si,Silla móvil y mesa fija
148,O_203,"70,6",O,62.0,5258.0,Fijo,No,Silla móvil y mesa fija
149,O_101,"94,0",O,121.0,5250.0,Fijo,No,Silla y superficie abatible fijas
150,Q_307,"88,1",Q,42.0,1455.0,Fijo,SI,Silla móvil y mesa fija
151,Q_405,"114,9",Q,70.0,nan,Fijo,SI,Silla móvil y mesa fija
152,ML_603,"165,6",ML,117.0,1626.0,Fijo,Si,Silla móvil y mesa fija
153,SD_803,"140,0",Sd,82.0,1163.0,Fijo,Si,Silla móvil y mesa fija
154,R_111,"83,0",R,70.0,nan,Fijo,No,Silla y superficie abatible fijas
155,ML_604,"125,7",ML,81.0,1616.0,Fijo,Si,Silla móvil y mesa fija
156,ML_511,"85,4",ML,61.0,1615.0,Fijo,Si,Silla móvil y mesa fija
157,R_210,"172,8",R,192.0,nan,Fijo,No,Silla y superficie abatible fijas
158,M_100,"72,1",M,63.0,nan,Fijo,No,Silla móvil y mesa fija
159,R_113,"83,5",R,77.0,nan,Fijo,No,Silla y superficie abatible fijas
160,R_210,"172,8",R,192.0,nan,Fijo,No,Silla y superficie abatible fijas
