materia,nombre,creditos
IMEC-4503,"DINAMICA AVANZADA",4
IMEC-4600,"SOL NUM ECUACI DIFER PARCIALES",4
IMEC-4700,"SEM. DE MAGISTER",0
IMEC-6700,"SEMINARIO DE DOCTORADO",0
IQUI-1001,"INTROD.INGENIERIA QUIMICA",3
IQUI-1001C,"COMP.INTROD.INGENIERIA QUIMICA",0
IQUI-2010,"FUNDAMENTOS PROC. INDUSTRIALES",3
IQUI-2010C,"COMPL. FUND PROC. INDUSTRIALES",0
IQUI-2020,TERMODINAMICA,3
IQUI-2020C,"COMPL. TERMODINÁMICA",0
IQUI-2021,"EQUILIBRIO DE FASES Y QUIMICO",3
IQUI-2021C,"COMPL. EQUILIBRIO",0
IQUI-2023,"LAB. TERMODINAMICA",0
IQUI-2090,"PROYECTO DE MITAD DE CARRERA",3
IQUI-2091,"TALLER PMC",0
IQUI-2101,"FENOMENOS DE TRANSPORTE 1",3
IQUI-2101L,"TALLER FENOMENOS TRANSPORTE 1",0
IQUI-2102,"FENOMENOS DE TRANSPORTE 2",3
IQUI-2102C,"COMPL. FENOMENOS TRANSPORTE 2",0
IQUI-2200,"DISEÑO EXPERIM. ING QUIMIC",3
IQUI-2200L,"TALLER DISEÑO EXPERIMENTAL",0
IQUI-2300,"INGENIERIA DE REACCIONES",3
IQUI-3001,"PROCESOS DE SEPARACION",3
IQUI-3001C,"COMPL. PROC. SEPARACION",0
IQUI-3010,"OPERACIONES UNITARIAS",3
IQUI-3031,"DISEÑO PLANTAS DE PROCESO",3
IQUI-3039,"INTRO. MODEL. Y SIMUL. ING.",3
IQUI-3040,"OPTIMIZACION PROCESOS QUIMICOS",3
IQUI-3090,"SEM.PROYECTO GRADO",0
IQUI-3109,"TURBOMAQUINAS EN CPI",3
IQUI-4102,"TERMODINAMICA AVANZADA",4
IQUI-4218,"FISICOQUÍM SIST POLIMERICOS",4
IQUI-4402,SEMINARIO,0
IQUI-4511,"DISEÑO OPTIMO SISTEMAS TERMICO",4
ISIS-1001,"INTROD. INGENIERIA DE SISTEMAS",3
ISIS-1002,"ACOMPAÑAMIENTO ISIS",0
ISIS-1104,"MATEMÁTICA ESTRUCTURAL Y LÓGIC",3
ISIS-1104L,"LAB MATEMÁTICA ESTRUCT Y LOGIC",0
ISIS-1105,"DISEÑO Y ANALISIS DE ALGORI.",3
ISIS-1106,"LENGUAJES Y MÁQUINAS",3
ISIS-1204,"ALGORITMICA Y PROGR. OBJ. I",3
ISIS-1205,"ALGORITMICA Y PROGR. OBJ. II",3
ISIS-1206,"ESTRUCTURAS DE DATOS",3
ISIS-1206L,"LAB. ESTRUCTURAS DATOS",0
ISIS-1207,"ALG. Y PROGR. OBJ. I (HONORES)",3
ISIS-1209,"ALG. Y PROG. OBJ. II (HONORES)",3
ISIS-1304,"FUND INFRAESTRUCTURA TECNOLÓGI",3
ISIS-1404,"TI EN LAS ORGANIZACIONES",3
ISIS-1602B,"VIDEOJUEGOS: TEC.,DISEÑO Y CUL",3
ISIS-1603B,"LAS MIL CARAS DE INTERNET",3
ISIS-2007,"DISEÑO PROD. E INNOVACIÓN TI",3
ISIS-2008,"VISIÓN ISIS",0
ISIS-2203,"INFRAESTRUCTURA COMPUTACIONAL",3
ISIS-2304,"SISTEMAS TRANSACCIONALES",3
ISIS-2403,"ARQUITECTURA EMPRESARIAL",3
ISIS-2503,"ARQUITECTURA Y DISEÑO DE SW",3
ISIS-2603,"DESARROLLO DE SW EN EQUIPO",3
ISIS-2603L,"LAB DLLO DE SW EN EQUIPO",0
ISIS-3204,"INFRAESTRUCTURA COMUNICACIONES",3
ISIS-3301,"INTELIGENCIA DE NEGOCIOS",3
ISIS-3302,"MODELADO, SIMULACION Y OPTIMIZ",3
ISIS-3302L,"LAB MODELA, SIMULACION Y OPT",0
ISIS-3510,"CONSTR. APLICACIONES MÓVILES",3
ISIS-3510L,"LAB. CONSTR. APLICAC. MOVILES",0
ISIS-3710,"PROGR CON TECNOLOGIAS WEB",3
ISIS-3990,"INSCRIPCION A GRADO",0
ISIS-4000,"TESIS I",4
ISIS-4214,"AGENTES INTELIGENTES",4
ISIS-4217,"PARADIGMAS DE PROGRAMACIÓN",4
ISIS-4422,"SERV MOVILES Y DE PROXIMA GENE",4
ISIS-4426,"DESARROLLO DE SOLUCIONES CLOUD",4
ISIS-4823,"COMPUTACION VISUAL INTERACTIVA",4
LEGI-5501,"ASPECTOS JURIDICOS ECONOMICOS",3
LEGI-5503,"INTERV. ESTADO SECTOR FINANCIE",3
LEGI-5505,"GERENCIA FINANCIERA",3
LENG-1065,"PROFUN. LENG ADVANCED SPEAKING",0
LENG-1066,"PROFUN. LENG ADVANCED WRITING",0
LENG-1117,"INGLES 2 - LENGUAS Y CULTURA",3
LENG-1118,"INGLES 3 - LENGUAS Y CULTURA",3
LENG-1130,"WRITING BUSINESS COMMUNICATION",3
LENG-1150,"ENGLISH FUNDAMENTALS",0
LENG-1151,"ENGLISH 01",0
LENG-1152,"ENGLISH 02",0
LENG-1153,"ENGLISH 03",0
LENG-1154,"ENGLISH 04",0
LENG-1155,"ENGLISH 05",0
LENG-1156,"ENGLISH 06",0
LENG-1157,"ENGLISH 07 - SPEAKING 1",0
LENG-1158,"ENGLISH 08 - WRITING 1",0
LENG-1159,"ENGLISH 09A WRITING 2-SCIENCES",0
LENG-1160,"ENGLISH 09B WRITING 2 -HUMANIT",0
LENG-1161,"ENGLISH 10A-SPEAKING2 ACADEMIC",0
LENG-1162,"ENGLISH 10B SPEAKING2 PROFESS.",0
LENG-1201,"FRANCÉS 1",3
LENG-1202,"FRANCÉS 2",3
LENG-1203,"FRANCÉS 3",3
LENG-1204,"FRANCÉS 4",3
LENG-1225,"EXPRESSION ORALE ET PHONÉTIQUE",3
LENG-1300,"ALEMÁN 1 Y 2 COMBINADO BLENDED",3
LENG-1301,"ALEMAN 1",3
LENG-1302,"ALEMAN 2",3
LENG-1303,"ALEMAN 3",3
LENG-1304,"ALEMAN 4",3
LENG-1328,"PHONETIK UND MÜNDLICHER AUSDRU",3
LENG-1329,"DEUTSCHE GRAMMATIK",3
LENG-1350B,"ESCUELA, MEMORIA, NACIÓN",3
LENG-1401,"JAPONES 1",3
LENG-1402,"JAPONES 2",3
LENG-1403,"JAPONES 3",3
LENG-1404,"JAPONES 4",3
LENG-1406,"JAPONÉS PARA JPOP Y DORAMA",3
LENG-1469B,"GÉNERO EN JAPÓN",3
LENG-1470B,"CINE ASIÁTICO",3
LENG-1501,"ESPAÑOL",3
LENG-1582,"ESPAÑOL LENGUA EXTRANJERA  A2",3
LENG-1583,"ESPAÑOL LENGUA EXTRANJERA B1",3
LENG-1584,"ESPAÑOL LENGUA EXTRANJERA B2",3
LENG-1601,"ITALIANO 1",3
LENG-1602,"ITALIANO 2",3
LENG-1603,"ITALIANO 3",3
LENG-1604,"ITALIANO 4",3
LENG-1621B,"CINE ITALIANO",3
LENG-1701,"PORTUGUES 1",3
LENG-1702,"PORTUGUES 2",3
LENG-1703,"PORTUGUES 3",3
LENG-1704,"PORTUGUES 4",3
LENG-1741,"CHINO 1",3
LENG-1742,"CHINO 2",3
LENG-1743,"CHINO 3",3
LENG-1769,"RUSO PARA VIAJAR",3
LENG-1906,"INTRODUCCIÓN LINGÜÍSTICA  L YC",3
LENG-1907,"LINGÜÍSTICA GENERAL",3
LENG-1908,"SOCIOLINGÜÍSTICA",3
LENG-2114,"INGLES 4 - LENGUAS Y CULTURA",3
LENG-2115,"INGLES 5 - LENGUAS Y CULTURA",3
LENG-2116,"ADVANCED EFFECTIVE WRITING",3
LENG-2117,"ADVANCED EFFECTIVE SPEAKING",3
LENG-2118,"INGLES 6 - LENGUAS Y CULTURA",3
LENG-2211,"FRANCES 5",3
LENG-2212,"FRANCES 6",3
LENG-2224,"ATELIER DÉCRITURE ACADÉMIQUE1",3
LENG-2226,"ATELIER DÉCRITURE ACADÉMIQUE 2",3
LENG-2227,"CONVERSA Y ESCRIT EN FRANCÉS 6",0
LENG-2228,"GRAMMAIRE EN CONTEXTE",3
LENG-2311,"ALEMAN 5",3
LENG-2312,"ALEMAN 6",3
LENG-2315,"KREATIVES SPRECHEN UND SCHREIB",3
LENG-2316,"WISSENSCHAFTLICHES SCHREIBEN",3
LENG-2411,"JAPONES 5",3
LENG-2412,"JAPONES 6",3
LENG-2563,"PERFORMATIVIDAD Y REPRESENTAC.",3
LENG-2572B,"SEXO CULTURA Y SOCIEDAD",3
LENG-2575,"DISEÑO CURRICULAR",3
LENG-2576,"METODOLOGÍAS Y EVALUACIÓN",3
LENG-2582B,"SUPLICIOS Y PENAS DE MUERTE",3
LENG-2586,"LINGUÍSTICA DE CORPUS",3
LENG-2611,"ITALIANO 5: ITALIANO Y TEXTOS",3
LENG-2612,"ITALIANO 6",3
LENG-2709,"VOZES DE RESISTÊNCIA NO BRASIL",3
LENG-2711,"PORTUGUÉS 5",3
LENG-3155,"INTRO. TO RESEARCH METHODO.",3
LENG-3157,"TEXTS AND CONTEXTS",3
LENG-3239,"L’HUMOUR DANS LA LANGUE FRANCA",3
LENG-3280B,"UNE HISTOIRE DE LA PROSTITUTIO",3
LENG-3317B,"IDENTIDADES ALEMANAS",3
LENG-3328,"MEILENSTEINE DER MODERNEN DEUT",3
LENG-3420,"NIHON SHAKAI BUNKA",3
LENG-3585,"ESPAÑOL LENGUA EXTRANJERA C1",3
LENG-3922,"PRACTICA 2",3
LENG-3995,"SEMINARIO DE GRADO",3
LENG-4001,"ESCRITURA ACADEMICA POSTGRADO",0
LENG-4997,"TALLER LECTURA 1-POSTGRADO",0
LENG-4998,"TALLER LECTURA 2 POSTGRADO",0
LENG-6991,"INGLES DOCTORADOS 1",4
LENG-6992,"INGLES DOCTORADOS 2",4
LENG-6993,"INGLES DOCTORADOS 3",4
LENG-6994,"INGLES DOCTORADOS 4",4
LITE-1100,"INTR.A LOS ESTUDIOS LITERARIOS",3
LITE-1304,"LITERAT. ESPAÑOLA S. DE ORO",3
LITE-1324,"LITERATURA COLOMBIANA 3",3
LITE-1400,"LATIN I",3
LITE-1401,"GRIEGO I",3
LITE-1565A,"LO TRÁGICO Y LO CÓMICO",3
LITE-1573A,"MONSTRUOS Y LITERATURA",3
LITE-1609A,"UN VIAJE A LA LIT. MODERNA",3
LITE-1611,"ESPAÑOL",3
LITE-1620,"TALLER DE GRAMÁTICA Y ESTILO",3
LITE-2100,"TEORIA LITERARIA 2",3
LITE-2101,"TEORIA LITERARIA 3",3
LITE-2102,"LINGUISTICA I",3
LITE-2300,"LITERATURA ESPANOLA SIGLOXX",3
LITE-2316,"LIT.LATINOAMERICA 2: MODERNISM",3
LITE-2319,"LITE. COLOMBIANA 1: COLONIAL",3
LITE-2405,"LATÍN II",3
LITE-2406,"GRIEGO II",3
LITE-2407,"LATIN III",3
LITE-2408,"GRIEGO III",3
LITE-2532B,"FICCIONES POLICIALES",3
LITE-2569B,"LITE.AFRICANA EXP. PORTUGUESA",3
LITE-2571B,"TEATRO: INDIA, JAPON, NIGERIA",3
LITE-2580B,"GÉNERO, LENGUAJE E IMAGEN",3
LITE-2582,"19TH CENT. BRIT. WOMEN WRITERS",3
LITE-2583,"VIOLENCIA, LITERATURA Y CINE",3
LITE-2584,"ANTON CHEJOV",3
LITE-2585,"LITERATURA ERÓTICA LATINA",3
LITE-2621,"TALLER DE ESCRITURA CREATIVA 2",3
LITE-3330,"SEMINARIO ESPAÑOLA",3
LITE-3346,"SEMINARIO DE COLOMBIANA",3
LITE-3347,"SEMINARIO DE LATINOAMERICANA",3
LITE-3402,"SEMINARIO DE LATIN IV",3
LITE-3615,"SEMINARIO DE EDICIÓN 2",3
LITE-3905,"SEM.TRABAJO-GRADO EN CREACIÓN",6
MADM-4051,"TALLER DE LIDERAZGO Y HAB.GERE",1
MADM-4052,"TALLER DE NEGOC.Y EQUIPOS EFEC",1
MADM-4100,"EMPRESARIADO EN COLOMBIA",2
MADM-4151,"EMPRENDIMIENTO E INNOVACION",2
MADM-4153,"DESARROLLO SOSTENIBLE",1
MADM-4154,"EL LIDER, SU ETICA Y RESPONSAB",2
MADM-4206,"GERENCIA FINANCIERA",4
MADM-4303,"GERENCIA DE MERCADEO",4
MADM-4551,"JUEGO GERENCIAL",3
MADM-4701,"NEGOCIOS INTERNACIONALES",2
MATE-1002A,"MATEMATICAS Y CIVILIZACION",3
MATE-1009A,"EL JUEGO DE LA MENTE",3
MATE-1041B,"GEOMETRIA SAGRADA",3
MATE-1064B,"PENSAM. A TRAVES DE LOS NUME.",3
MATE-1102,"MATEMATICA ESTRUCTURAL",3
MATE-1105,"ALGEBRA LINEAL 1",3
MATE-1105C,"ALGEBRA LINEAL 1 COMPL",0
MATE-1106,"ALGEBRA LINEAL 1 (HONORES)",3
MATE-1107,"ALGEBRA LINEAL 2 (INGLÉS)",3
MATE-1201,PRECALCULO,3
MATE-1201C,"PRECALCULO COMPLEMENTARIA",0
MATE-1203,"CALCULO DIFERENCIAL",3
MATE-1203C,"CALCULO DIFERENCIAL COMPL.",0
MATE-1204,"CALCULO DIFEREN (HON)",3
MATE-1207,"CALCULO VECTORIAL",3
MATE-1207C,"CALCULO VECTORIAL COMPL",0
MATE-1208,"CALC. VECTORIAL (HONORES)",3
MATE-1212,"MATEMATICAS 1 (BIO-MED)",3
MATE-1213,"MATEMATICAS 3 (BIO-MED)",3
MATE-1214,"CALCULO INTEGRAL-ECUAC.DIFEREN",3
MATE-1214C,"CALC.INTEG-ECUAC.DIFEREN COMPL",0
MATE-1215,"CALCULO INT-ECUAC.DIFER(HON)",3
MATE-1251,"MÉTODOS CUANTITATIVOS",3
MATE-1252,"CALCULO INTEGRAL-PROBABILIDAD",3
MATE-1252C,"CALCULO INTEGRAL-PROBAB COMPL",0
MATE-1253,"ALG LINEAL 1 Y CÁL 3 (INGLÉS)",3
MATE-1253C,"COMPL. CALC. 3 ALG. LINEAL 1",0
MATE-1441B,"ESCHER: GEOMETRÍA Y ARTE",3
MATE-1442B,"IDEAS EN ESPACIO Y TIEMPO",3
MATE-1501,"ESTADISTICA 1 (C.SOCIALES)",3
MATE-1502,"ESTADISTICA 2 (C. SOCIALES)",3
MATE-1506,"PROB.Y ESTADISTICA 2",3
MATE-1507,"MATEMATICAS 2 (BIO-MED)",3
MATE-1508,"ESTADISTICA (CONTADURIA)",3
MATE-1721,"PRINCIPIOS MATEM. EN MEDICINA",3
MATE-1721L,"LAB PRINCIPIOS MATEM. MEDICINA",0
MATE-2101,"ALGEBRA ABSTRACTA 1",3
MATE-2201,"ANALISIS 1",3
MATE-2210,"CALC VARIABLE COMPL (INGENIER)",2
MATE-2211,"CALC.VARIABLE COMPLEJA",3
MATE-2301,"ECUACIONES DIFERENCIALES",3
MATE-2301C,"ECUACIONES DIFERENCIALES COMPL",0
MATE-2303,"ECUAC.DIFERENCIAL.(INGENIERÍA)",3
MATE-2303C,"COMPL ECUA DIFEREN(INGENIERÍA)",0
MATE-2411,"GEOMETRIA DE CURVAS Y SUPERFIC",3
MATE-2507,"PROB. Y ESTAD ASUNTOS PUBLICOS",4
MATE-2509,"ESTADISTICA (ECONOMIA)",4
MATE-2510,"PROBABILIDAD (HONOR)",3
MATE-2511,"ESTADÍSTICA ASUNTOS PÚBLICOS",4
MATE-2604,"TEORIA DE ANALISIS NUMERICO",3
MATE-2711,"METODOS MATEM. PARA ECONO.",3
MATE-2714,"INT.MODELOS MATEM.GEST.FINAN.",3
MATE-3101,"ALGEBRA ABSTRACTA 2",3
MATE-3120,"LOGICA 1",3
MATE-3121,"LOGICA 2",3
MATE-3132,"TEORIA DE CONJUNTOS 2",3
MATE-3134,"TEORÍA DE  LA INFORM. (INGLÉS)",3
MATE-3135,"MATEMATIC ACTUARIALES (INGLÉS)",3
MATE-3136,"GRANDES DESVÍOS",3
MATE-3145,"INTR. TEORÍA REPRESENTACIONES",3
MATE-3146,"EL MÉTODO PROBABILÍSTICO",3
MATE-3175,"INTROD. A GEOMETRIA ALGEBRAICA",3
MATE-3410,"GEOMETRÍA DIFERENC. 2",3
MATE-3420,"TOPOLOGIA 1",3
MATE-3520,"ESTADÍST. MATEMATICA 1(INGLÉS)",3
MATE-3712,"TEORIA DE JUEGOS",3
MATE-3761,"OPTIMIZACIÓN LINEAL",3
MATE-3801,"PRACTICA ENSENANZA 1",3
MATE-3802,"PRACTICA ENSENANZA 2",3
MATE-3904,"SEMINARIO PROYECTO DE GRADO 1",1
MATE-3905,"SEMINARIO PROYECTO DE GRADO 2",1
MATE-4120,"LOGICA MATEMATICA",4
MATE-4130,"TEORIA DE CONJUNTOS 2",4
MATE-4134,"TEORÍA DE LA INFORM (INGLÉS)",4
MATE-4135,"MATEMÁTIC.ACTUARIALES (INGLÉS)",4
MATE-4136,"GRANDES DESVÍOS",4
MATE-4145,"INTR. TEORÍA REPRESENTACIONES",4
MATE-4146,"EL MÉTODO PROBABILÍSTICO",4
MATE-4162,"GEOM SIMPL TEOR GEOM INVARIANT",4
MATE-4173,"ALGEBRA ABSTRACTA 2",4
MATE-4175,"INTROD. A GEOMETRIA ALGEBRAICA",4
MATE-4220,"MEDIDA E INTEGRACION",3
MATE-4330,"ANALISIS  FUNCIONAL",3
MATE-4331,"TEORIA ESPECTRAL DE OPERADORES",4
MATE-4424,"TOPOLOGIA ALGEBRAICA 2",4
MATE-4761,"OPTIMIZACIÓN LINEAL",4
MATE-4901,"SEMINARIO DE POSTGRADO 1",2
MATE-4902,"SEMINARIO DE POSTGRADO 2",2
MATE-6901,"SEMINARIO DE POSTGRADO 1",2
MATE-6902,"SEMINARIO DE POSTGRADO 2",2
MBAE-4122,NEGOCIACION,2
MBAE-4132,"EMPRENDIMIENTO E INNOVACION",2
MBAE-4211,"ECONOMIA GERENCIAL",2
MBAE-4653,"CAMBIO ORGANIZACIONAL",2
MBIO-0000,INDUCCION,1
MBIO-1100,"BIOLOGIA CELULAR-TEO",3
MBIO-1280A,"DESCIFRANDO EL GENOMA HUMANO",3
MBIO-2100,BIOQUIMICA-TEO,3
MBIO-2102,"BIOLOGIA MOLECULAR-TEO",3
MBIO-2102C,"COMPL. BIOLOGIA MOLECULAR",0
MBIO-2300,BACTERIOLOGIA-TEO,3
MBIO-2302,"BIOLOGIA DE HONGOS-TEO",3
MBIO-2304,PARASITOLOGIA-TEO,3
MBIO-2306,VIROLOGIA-TEO,3
MBIO-2310,"BIOLOG. MOLECULAR DE LA CELULA",3
MBIO-2310C,"COMP.BIOLOG.MOLECULAR CELULA",0
MBIO-2400,BIOESTADISTICA-TEO,3
MBIO-2500,INMUNOLOGIA-TEO,3
MBIO-3100,"BIOL.CELU Y MOLEC.PROCARIO-TEO",3
MBIO-3502,"MICROBIOLOGIA MEDICA-TEO",2
MBIO-3513,"GENOMICA Y BIOINFORMATICA",3
MBIO-3600,FITOPATOLOGIA-TEO,3
MBIO-3602,"MICROBIOLOGIA DE ALIMENTOS-TEO",3
MBIO-3604,"MICROBIOLOGIA AMBIENTAL-TEO",3
MBIO-3914,"SEMINARIO DE MICROBIOLOGIA",1
MBIO-3915,"COLECCIONES MICROBIOLOGICAS",2
MBIT-4101,"HABILIDADES GERENCIALES EN TI",4
MBIT-4102,"FINANZAS Y MERCADEO ESTRAT.",4
MBIT-4103,"FORMACIÓN DIRECTIVOS TI",4
MBIT-4201,"EMPRENDIMIENTO Y COMERCIO ELEC",4
MBIT-4202,"GOBIERNO DE TI",4
MBIT-4203,"BUSINESS ANALYTICS",4
MBIT-4204,"GESTIÓN DE SERVICIOS DE TI",4
MBIT-4207,"NEGOCIO PRODUCCIÓN OPERACIÓN",4
MBIT-4211,"NUEVAS TIC NEGOCIOS DIGITALES",4
MBIT-4301,"PROYECTO FINAL",4
MBIT-4304,"PROYECTO DE EMPRENDIMIENTO",4
MDER-4202,"TEORÍA II",4
MDER-4203,"COLOQUIO DE INVESTIGACION",4
MDER-4503,"DER. CONSTITUCIONAL AVANZADO",4
MDER-4966,"LIBERTAD DE RELIGIÓN",4
MDER-4967,"MOD. PROCESALES Y TECN. DE LIT",4
MDER-4968,"TEORÍAS ECONO. DE LABORAL Y SS",4
MDER-4969,"DERECHO AMBIENTAL",4
MECA-4105,"MICROECONOMÍA MECA",2
MECA-4106,"MACROECONOMÍA MECA",2
MECA-4109,"MÉTODOS CUANTITATIVOS- MECA",4
MECA-4202,"REGULACIÓN ECONÓMICA",4
MECA-4202C,"COMPL.REGULACIÓN ECONÓMICA",0
MECA-4302,"ECONOMÍA AMBIENTAL II",4
MECA-4302C,"COMPL.ECONOMÍA AMBIENTAL II",0
MECA-4402,"EVALUACIÓN DE IMPACTO",4
MECA-4402C,"COMPL EVALUACIÓN DE IMPACTO",0
MECA-4501,"PROYECTO DE GRADO I",2
MFIN-4203,DERIVADOS,2
MFIN-4210,"POLÍTICA ECONÓMICA",2
MFIN-4255,"PLANEACION TRIBUTARIA",2
MFIN-4256,"ANALISIS DE DECISIONES DE INV",2
MGAD-4301,"GERENCIA ESTRATÉGICA",3
MGAD-4401,ORGANIZACIONES,3
MGAD-4601,"ELECTIVA:CADENAS VALOR SOSTEN.",3
MGAD-4602,"ELECTIVA:CAMBIO AMBIENT GLOBAL",3
MGAD-4603,"ELECT: EVAL PROGRAMAS SOCIALES",3
MGAD-4604,"ELECTIVA: TALLER NEGOCIACIÓN",1
MGAP-4406,"ECONOMIA AMBIENTAL Y RR.NATUR.",3
MGAP-4414,"POLIT.GEST.AMBIENTAL AMERICA",3
MGAP-4422,"PROYECTO DE GRADO",3
MGPA-4101,"PENSAMIENTO ESTRATÉGICO",3
MGPA-4201,"PENSAMIENTO DE DISEÑO",2
MGPA-4202,"PENSAMIENTO PARAMÉTRICO",2
MGPD-4407,"ANAL ECON PRACTICA DEL DLLO",3
MGPD-4444,"GOBERNANZA, INST Y  POLITICAS",3
MHAR-4002,"VISIONES INVESTIGACIONCREACION",4
MHAR-4017,"HISTORIOGRAFÍA Y TEORÍA ARTE",4
MHAR-4018,"DISLOCAR EL CANON",4
MHAR-4019,"COLOMBIA CONTEMPORÁNEA",4
MIIA-4001,"TRABAJO PRACTICO 1",2
MIIA-4002,"SEMINARIO DE APLICACIONES 2",0
MIIA-4200,"MINERIA DE DATOS",4
MIIA-4202,"MODELOS PARA TOMA DE DECISIONE",4
MINE-4101,"CIENCIA DE DATOS APLICADA",4
MINE-4102,"ANALISIS INFORM SOBRE BIG DATA",4
MINE-4103,"ADMIN. DEL CONOCIMIENTO",4
MINE-4201,"SISTEMAS DE RECOMENDACIÓN",4
MINE-4202,"ADMIN PROYECTOS DE INFORMACIÓN",4
MINE-4301,"PROYECTO FINAL",4
MISO-4101,"PROCESOS DE DESARROLLO AGILES",4
MISO-4202,"MEJOR. PRODUCT: AUTOMATIZACION",4
MISO-4204,"FABRICAS SW Y LIN PRODUCTOS",4
MISO-4206,"ARQUITECTURA SW ÁGIL",4
MISO-4208,"PRUEBAS AUTOMÁTICAS",4
MISO-4301,"PROYECTO INTEGRADOR",4
MLIT-4000,"ESCRITURA ACADEMICA POSTGRADOS",0
MLIT-4300,"NARRATIVA URBANA LATINOAMERICA",4
MLIT-4500,"DISCURSO SOBRE EL CUERPO",4
MLIT-4509,"PASANTÍA EST-EXT DE POSGRADO",0
MMER-4300,CANALES,2
MMER-4302,"COMUNICACIONES INTEG MERCADEO",2
MMER-4307,"INNOV Y DESARROLLO DE PRO",2
MMER-4309,"INVESTIGACIÓN DE MERCADOS II",2
MMER-4337,"TALLER DE COMUNICACION",1
MMER-4339,"TALLER DE INNVA Y CREATIVIDAD",1
MMER-4400,"INTELIGENCIA DE NEGOCIOS",2
MPAZ-4000,"COLOQUIO MAESTRÍA CONSTR. PAZ",4
MPAZ-4100,"CONSTRUCCIÓN PAZ Y TRANSICIÓN",4
MPAZ-4200,"CONVIV Y RECONST TEJIDO SOCIAL",4
MPER-4100,"HISTORIA DEL PERIODISMO",4
MPER-4200,"PERIODISMO DIGITAL",4
MPER-4300,"INVESTIGACIÓN EN PERIODISMO",4
MPER-4400,"SEM. 1:GENEROS PERIODISTICOS 1",4
MPER-4401,"GENEROS PERIODISTICOS 2",4
MPET-4102,"INGENIERIA DE PRODUCCION",4
MPET-4110,"RECOBRO MEJORADO",4
MPET-4211,"INGENIERÍA DE PERFORACIÓN",4
MPET-4310,"ANALI RIESGO Y TOMA DE DECIS",4
MPET-4401,"ASPECTOS AMBIEN PROY PETROLEOS",4
MPET-4500,"PROYECTO COLECTIVO INTEGRADOR",4
MPET-4501,"SEMINARIO MPET",0
MSIN-4101,"ING CRIPTOGRAFICA Y APLIC SERV",4
MSIN-4102,"INFRAESTRUCTURA SEGURA",4
MSIN-4201,"MOD. Y ESTÁND. DE SEGURIDAD",4
MSIN-4206,"COMPUTACIÓN FORENSE",4
MSIN-4207,CIBERSEGURIDAD,4
MSIN-4301,"PROYECTO FINAL",4
MUSI-1100A,"APRECIACION DE LA MUSICA(INGL)",3
MUSI-1101B,"APRECIACION DE BLUES Y ROCK 1",3
MUSI-1102B,"APRECIACION DE BLUES Y ROCK 2",3
MUSI-1104B,"MUS. EDAD MEDIA Y RENACIMIENTO",3
MUSI-1105B,"MUSICA SIGLOS XVII Y XVIII",3
MUSI-1106B,"MUSICA SIGLO XIX",3
MUSI-1107B,"MUSICA SIGLO XX",3
MUSI-1114A,"MUSICA ORQUESTAL EN OCCIDENTE",3
MUSI-1115A,"CULTURAS MUSICALES DEL MUNDO",3
MUSI-1116B,"MUSICA Y CINEMATOGRAFIA",3
MUSI-1125B,"MÚSICA EXPERIMENTAL",3
MUSI-1126,"NEGOCIOS DE LA MÚSICA",3
MUSI-1130B,"DE LA HABANERA AL TANGO",3
MUSI-1819,"CORO PREPARATORIO",2
MUSI-2512,"AUDIO PARA LA IMAGEN I",2
MUSI-2602,"SONIDO EN VIVO 1",3
MUSI-2612,"FUNDAMENTOS DE AUDIO Y ACÚSTIC",3
MUSI-2613,"TECNOLOGÍA DEL AUDIO 1",3
MUSI-2621,"ESPACIOS ACÚSTICOS",3
MUSI-3615,"PRE-PROYECTO PRODUCCIÓN",0
MUSI-3998,ORQUESTA,0
MUSI-4000,"MUSICOLOGIA. METODOS Y ESTILOS",4
MUSI-4018,"MÚSICA DE LATINOAMÉRICA",4
PERI-1001B,"MEDIOS, PERIODISMO Y PODER",3
PERI-1002B,"CRÓNICAS Y REPORT. PERIODISTIC",3
PERI-1004B,"TALLER MEDIOS DIGITALES Y MULT",3
PERI-1006B,"SALA DE REDACCIÓN",3
PERI-1007B,"CINE, PERIODISMO Y CULTURA",3
PERI-1008A,"DE GRECIA A INTERNET",3
PERI-1009B,"RELATOS DE NACION PERIODISTICA",3
PERI-1011B,"GRANDES HISTORIAS PERIODISTIC.",3
PERI-1015A,"VIAJESPORLOSTIEMPOSDEL OCIO Y",3
PERI-1016A,"COMUNIC.Y TECNOLOG.EN ELTIEMPO",3
PERI-1017A,"PERIODISMO VISUAL",3
PERI-1018B,"PERIODISMO, GUERRA Y PAZ",3
PERI-1019,"TALLER SONORO",3
PERI-1020,"TALLER DE VIDEO",3
PERI-1021B,"CULTURA DIGITAL",3
PSCL-4102,"PSICOLOGÍA CLÍNICA III",4
PSCL-4209,"EVAL. E INT. NIÑOS Y ADOLESC.",4
PSIC-1131B,"VIOLENCIA URBANA Y PREVENCION",3
PSIC-1135B,"CONDUCTA CRIMINAL Y SOCIEDAD",3
PSIC-1204,"PRINCIPIOS DE NEUROCIENCIAS 1",3
PSIC-1205,"PRINCIPIOS DE NEUROCIENCIAS 2",3
PSIC-1402,"FUNDAMENTOS DE PSICOLOGIA",3
PSIC-1403,"TALLER DE INDUCCION",0
PSIC-2312,"PSICOLOGIA APRENDIZAJE",3
PSIC-2313,"PSICOLOGÍA DE LA EMOCIÓN",3
