materia,nombre,creditos
BIOL-1329A,"AZUL PROFUNDO:CRONICAS DEL MAR",3
BIOL-1331B,"EXPLORACION OCEANICA (VIRTUAL)",3
BIOL-2200,GENETICA-TEO,3
BIOL-2302,INVERTEBRADOS-TEO,3
BIOL-2308,ECOLOGIA-TEO,3
BIOL-2310,"VERTEBRADOS TEO",3
BIOL-3202,"SISTEMATICA FILOGENETICA-TEO",3
BIOL-3302,"FISIOLOGIA VEGETAL-TEO",3
BIOL-3320,ENTOMOLOGIA-TEO,3
BIOL-3324,"BIOLOGIA DE LA CONSERVACION",3
BIOL-3340,"BUCEO SCUBA Y ECOL. MARINA TEO",3
BIOL-3346,"LIMNOLOGIA APLICADA",3
BIOL-3912,"COLECCIONES BIOLOGICAS",2
CBIO-4108,"BIOQUIMICA DE PROTEINAS",4
CBIO-4109,"BIOLOGÍA MOLECULAR AVANZADA",4
CBIO-4118,"CAMBIO CLIMATICO Y BIODIVERSID",4
CBIO-4123,"DE LA CELULA A ORGANISMO:MECAN",4
CBIO-4307,"FILOGENIA EN ARTROPODOS",4
CBIO-4334,BIOGEOGRAFIA,4
CBIO-4508,"GENETICA ENFERMEDADES COMPLEJA",4
CBIO-4521,"TECN.CULTIVO CELULAS MAMIFEROS",4
CBIO-4804,"SEMIN.DEPT.CIENCIAS BIOLOGICAS",0
CIDE-3140A,"GENERO, IDENTIDAD Y DESARROLLO",3
CIDE-3141B,"COMERCIO Y DESARROLLO",3
CIDE-3154A,"COLOMBIA, PAIS DE REGIONES",3
CIDE-3172B,"ESTADO RESISTENCIA CAMBIO SOCI",3
CIDE-4114,"SEMINARIO TUTORIAL",1
CIDE-4133,"AVANCE TRABAJO DE GRADO",0
CIDE-4135,"TUTORIAL DE INVESTIGACIÓN",4
CIDE-4136,"INSTITUCIONES Y DESARROLLO",4
CIDE-4140,"TEORÍAS DEL DESARROLLO",4
CIDE-4148,"TALLER TRABAJO GRADO EN PROFUN",4
CIDE-4152,"SEMINARIO DE REDACCION",1
CIDE-4169,"TALLER TRABAJO GRADO EN INVEST",4
CIDE-4171,"SEMINARIO DE REDACCION",0
CIDE-4172,"AVANCE DE TRABAJO DE GRADO",4
CIDE-4173,"DESARROLLO ECON LOCAL Y REGION",4
CIDE-4174,"AMBIENTE Y SOST URBAN-REGION",4
CIDE-4175,"GOBERN. PARTICIP E INST. LOCAL",4
CIDE-4176,"ESPACIO PÚBLIC,EQUIP URB MOVIL",4
CIDE-4178,"MÉTODOS DE INVESTIGACIÓN",4
CIDE-4181,"SEMINARIO GÉNERO E INTERDISCIP",4
CIDE-4182,"ANÁLISIS POLÍTICAS Y PROGRAMAS",4
CIDE-4183,"INSTRUM. PLANIF. TERRITORIAL",4
CIDE-4189,"ESTUDIOS DIRIGIDOS",4
CIDE-5110,"ESTADO Y DESARROLLO",2
CIDE-5113,"FORMULACIÓN E IMPLEMENTACIÓN P",4
CIDE-5309,"ETICA RESPONSABILIDAD SOC Y DE",4
CIDE-5316,"EMPRESA Y DESARROLLO",4
CIDE-5409,"FORMULAC. Y GESTION DE PROYEC.",2
CIDE-5412,POLITICAS.DESARR.TERRITORIAL,4
CISO-1200B,"PENSAD:WEBER, DURKHEIM, MARX",3
CISO-1500B,"COLOMBIA CONTEMPORANEA",3
CISO-2000B,"HISTORIA Y SOCIOLO DE LA CIENC",3
CISO-2101,"HIST. Y CRITICA: POPPER, BENJ.",3
CISO-2102,"SUJ. Y SOC: TEORIA SOCIAL S.XX",3
CISO-2110,"PENSAMIENTO LATINOAMERICANO",3
CISO-2200,"PROBLEMAS DE LA INVEST. SOCIAL",3
CISO-4001,"DEBATES POLITICOS CONTEMP",4
CISO-4006,"DISEÑO DE INVESTIGACION MAESTR",4
CISO-4007,"ECONOMIA POLITICA INTERNACION",4
CISO-4008,"ESPACIO Y SOCIEDAD",4
CISO-4010,"PARADIGMAS DE LOS EST. CULT",4
CISO-4011,"PENSAMIENTO GEOGRAFICO",4
CISO-4014,"REPRESENT, CONOCI Y ETNOGRAFÍA",4
CISO-4019,"TRADIC TEORICAS ANTROPOLÓGICAS",4
CISO-4025,"TEORIA RELACIONES INTERNACIONA",4
CISO-4028,"PROBL ANTROPOLÓGI CONTEMPORÁ 1",4
CISO-4043,"AMERICA LAT Y ESTUDIOS CULTUR",4
CISO-4044,"POLITICAS DE LA REPRESENTACION",4
CISO-4506,"METODOLOGIA CUALI CIENCIAS SOC",4
CISO-4512,"METODOS CUANTITATIVOS",4
CISO-4513,"LAB.METODOS CUANTITATIVOS",0
CISO-4603,"EVALUACION PROYECT. Y PROGRAM.",4
CISO-4608,"POLITICA, FUTBOL Y CULT. POPUL",4
CISO-4637,"EMOCIONES EN CIENCIAS SOCIALES",4
CISO-4638,"HECHOS Y FICCIONES: TECNO_SOCI",4
CISO-4639,"POLITICS OF THE GLOBAL SOUTH",4
CISO-4642,"NEGOCIAR LA PAZ: NEG.MOD.TEC",4
CISO-4644,"HANNAH ARENDT",4
CISO-4645,"LA HERMEN DE HEIDEGG A GADAME",4
CISO-4648,"PRUEBA Y VERDAD EN EL DERECHO",4
CISO-4649,"SEM FILOSOFIA DEL CUERPO",4
CISO-4650,"SEM VARIEDADES DE LA REFERENC",4
CISO-4651,"SEM HISTORIA DE LA VERDAD",4
CISO-4652,"SEM AVANZADO DESARROLLO",4
CISO-4653,"PSICOLOGIA COGNITIVA",4
CISO-4654,"MODELOS ANAL.VARIABLES Y EVAL.",4
CISO-6000,"HISTORIOGRAFIA DE COLOMBIA",4
CONT-1210,"TALLER DE AUTOCONOCIM.(CONT)",1
CONT-1211,"LIDERAZGO Y ÉTICA",3
CONT-1221,"TALLER DE COMUNICACIÓN ORAL",1
CONT-1311,"GOBERNANZA EMPRESARIAL",3
CONT-1321,"ECONOMIA GERENCIAL",3
CONT-1411,"FUNDAMENTOS DE CONTABILIDAD",3
CONT-1412,"CONTABILIDAD FINANCIERA",3
CONT-1412C,"CONTABILIDAD FINANCIERA COMPL.",0
CONT-1413,"CONTABILIDAD FINANCIERA",3
CONT-1441,"FUNDAMENTOS DE ASEGURAMIENTO",3
CONT-1461,"SISTEMAS INFORMAC. EMPRESARIAL",3
CONT-2212,"ETICA PROFESIONAL",3
CONT-2322,"ESTRATEGIA E INTERNACIONALIZAC",3
CONT-2413,"CONTABILIDAD EN UN ENTORNO INT",3
CONT-2421,"CONTABILIDAD COSTOS (INGLES)",3
CONT-2462,"ANÁLISIS DE SISTEMAS DE INFORM",3
CONT-3111,"MODELOS NEGOCIO ASEGURAM.C1-A",3
CONT-3112,"CUMPL. FUNCIÓN TRIBUTARIA C1-T",3
CONT-3122,"CONSULTORIO CONTABLE",3
CONT-3422,"CONTABILIDAD DE PROYECTOS",3
CPOL-1000,INTRODUCC.CIENC.POLITICA.,3
CPOL-1100,"INTROD.POLITICA COMPARADA",3
CPOL-1201,"INTROD. ESTUDIOS INTERNACIONAL",3
CPOL-1300,"INTROD. POLITICA COLOMBIANA",3
CPOL-1400,"INTRODUCCION TEORIA POLITICA",3
CPOL-1500,"FUNDAMENTOS DE METODOLOGIA",3
CPOL-2137B,"ETNOGRAFIAR LA POLÍTICA",3
CPOL-2204,"TEORIA RELACIONES INTERNAC.",3
CPOL-2245,"DES GEOPOL DINAM SEG ASIA NORT",3
CPOL-2247,"AFRIC.POLITIC. COMPA. PERSPEC.",3
CPOL-2248,"PAL.ISR: CONF.CONS.PAZ.SXX-XXI",3
CPOL-2250,"GEO-POLÍT SEGURID ENERG GLOBAL",3
CPOL-2308B,"PARTIDOS POLITICOS Y ELECCIONE",3
CPOL-2311,"POLITICAS PUBLICAS",3
CPOL-2338,"PRESIDENCIAL. COLOMBIA Y LATAM",3
CPOL-2339,"HIST.SOC.CULT.FRENTE NACIONAL",3
CPOL-2410A,"JUSTICIA TRANSIC Y MEMORIA",3
CPOL-2417,"TEORIA CONTEMP POLITICA Y SOC",3
CPOL-2425,"HACIENDO HISTOR. NEGOC. HABANA",3
CPOL-2426B,"RELIGIÓN Y POLÍTICA",3
CPOL-2501,"TALLER METODOLOGIA",3
CPOL-3100,"SEM POLITICA COMPARADA",3
CPOL-3202,"SEM ESTUDIOS INTERNACIONALES",3
CPOL-3300,"SEM POLITICA COLOMBIANA",3
CPOL-3500,"SEMINARIO INVESTIGACION",3
CPOL-4522,"SEMINARIO INVESTIGACION CIENCI",4
DDER-6202,"METODOS DE INVESTIGACION 2",4
DECA-1001,"HERRAMIENTAS VIDA UNIVERSITARI",1
DEIN-4402,"SEMINARIO DE INVESTIGACIÓN",4
DEIN-4601,"MERCADOS Y DERECHO INT",4
DEIN-4604,"DERECHO PENAL INTERNACIONAL",4
DEIN-4606,"DERECHO AMBIENTAL INTERNACIONA",4
DEMP-5203,"RESPONSABILIDAD CIVIL",1
DEMP-5205,SOCIEDADES,2
DEMP-5301,"RELACIONES LABORALES",2
DEMP-5302,"EMPRESA Y CONFLICTO COLECTIVO",1
DEMP-5303,"PROTECCION LABORAL",2
DENI-5704,"CAMBIOS INTERN.Y TRIBUT.INTERN",4
DENI-5705,"FINANZAS Y MDOS INTERNALES",4
DEPI-4104,PATENTES,4
DEPI-4105,"DISEÑO INDUST.SECRETO EMPRESAR",4
DEPI-4106,"DE LAS NUEVAS TECNOLOGIAS",4
DEPR-4100,"RESPONSABILIDAD CIVIL",4
DEPR-4101,"D. DE LAS MULTIN Y RES. S. EMP",4
DEPR-4107,"DERECHO FINANCIERO",4
DERE-1101,"INTRODUCCION AL DERECHO",4
DERE-1102,"LOGICA Y RETORICA",3
DERE-1103,"SOCIOLOGIA JURIDICA",3
DERE-1107,"ETICA Y MEDIO AMBIENTE",3
DERE-1124B,"CINE Y CRIMEN",3
DERE-1201,"DERECHO ROMANO",3
DERE-1202,"FUNDAM DERE DE LOS NEGOCIOS",3
DERE-1300,"CONSTITUCION Y DEMOCRACIA",3
DERE-1301,"TEORIA GENERAL DEL ESTADO",3
DERE-2101,"HISTORIA DE LAS INSTITUCIONES",3
DERE-2102,"TEORIA JURIDICA",5
DERE-2103,"ETICA PROFESIONAL",3
DERE-2201,"OBLIGACIONES I",5
DERE-2202,"OBLIGACIONES II",5
DERE-2203,PROCEDIMIENTOS,4
DERE-2204,PRUEBAS,3
DERE-2205,CONTRATOS,5
DERE-2206,"PROPIEDAD Y DERE REALES 3 SEM",3
DERE-2207,"ARGUMENTACION EN PROCESOS CIVI",3
DERE-2208,"RELACIONES FAMILIARES",4
DERE-2211,"DERECHO COMERCIAL",3
DERE-2301,"DERECHO CONSTITUCIONAL",5
DERE-2302,"JUEZ E INTERPRET CONSTITUCIONA",3
DERE-2303,"DERECHO PUBLICO ADMINISTRATIVO",3
DERE-2304,"LEGISLACION Y POLITICAS PUBLIC",3
DERE-2401,"DERECHO PENAL",3
DERE-2402,"ARGUMENTACION EN EL PROCESO PE",3
DERE-2403,"PENAL ESPECIAL",3
DERE-2501,"RELACIONES LABORALES",3
DERE-2502,"PROTECCIÓN LABORAL",3
DERE-2601,"DERECHO INTERNACIONAL (INGLES)",3
DERE-2602,"DERECHO COMPARADO",3
DERE-3101,"HERMENEUTICA JURIDICA",3
DERE-3162,"MIS CONFLICTOS CON EL DERECHO",3
DERE-3193,"DERECHO,SEXO Y NO REPRODUCCIÓN",3
DERE-3201,SOCIEDADES,3
DERE-3202,"TITULOS VALORES",3
DERE-3203,"CONTRATOS COMERCIALES Y FINANC",3
DERE-3204,"PROCESOS DECLAR EJECUT Y ARBIT",3
DERE-3207,"DERECHO DE LA COMPETENCIA",3
DERE-3210,"DERECHOS DE AUTOR (3 CREDITOS,",3
DERE-3234,"FUSIONES Y ADQUISICIONES",3
DERE-3239,"PROTECCIÓN DATOS PERSONALES",3
DERE-3273,"FINANZAS PARA ABOGADOS",3
DERE-3277,"DERECHO BURSÁTIL ÉPOCA CRISIS",3
DERE-3301,"RESPONSABILIDAD DEL ESTADO",3
DERE-3302,"ACCIONES PUBLICAS",3
DERE-3303,"CONTRATOS ESTATALES",3
DERE-3307,"ASOCIACIONES PUBLICO PRIVADA",3
DERE-3309,TRIBUTACION,3
DERE-3351,"DERECHO AMBIENTAL",3
DERE-3377,"CONSTITUCION DESARR.ECONOMICO",3
DERE-3397,"DERECHO ELECTORAL",3
DERE-3406,"PENAL INTERNACIONAL",3
DERE-3409,CRIMINOLOGIA,3
DERE-3438,"CRIMINAL ECONÓMICA FINANCIERA",3
DERE-3462,"INVESTIGACIÓN CRIMINAL CORRUPC",3
DERE-3577,"NEGOCIACION RESOLUC.CONFLICTOS",3
DERE-3601,"DERE. INTERNACIONAL 2 (INGLES)",3
DERE-3603,"ARBITRAJE NACIONAL E INTERNAL.",3
DERE-3608,"CONCURSO DERECHOS HUMANOS",3
DERE-3615,"CONCURSO ELSA WTO MOOT COURT",3
DERE-3625,"DERE DEL ESPACIO ULTRATERREST",3
DERE-3707,"DERECHO Y MOVIMIENTOS SOCIALES",3
DERE-3813,"CJ PAIS PRIMARIA",0
DERE-3834,"CJ-I CONCILIACION",0
DERE-3835,"CJ-PRISIONES Y CÁRCELES",0
DERE-3837,"CJ MEDIO AMBIENTE SALUD PUBLIC",0
DERE-3904,"SEMINARIO INVESTIGACION DIRIGI",3
DGGJ-4103,"JUEZ Y DISTRIBUCIÓN DE RECURSO",4
DGGJ-4201,"SEMINARIO DE INVESTIGACION (I)",4
DGGJ-4202,"PROBLEMAS ADMON DE JUSTICIA II",4
DIGS-5101,"SISTEMAS TECNOLOGICOS",2
DIGS-5104,"DISEÑO E INNOVACION SOCIAL",2
DIGS-5202,"DINAMICAS TECNOLOGICAS",2
DIGS-5401,"PROYECTO I",1
DISE-1204,"HISTORIA DEL DISEÑO",3
DISE-1223B,"COLOR, COLOR Y MAS COLOR",3
DISE-1231B,"REIMAGINAR EL ESPACIO",3
DISE-1240A,"HISTORIA DEL TRAJE",3
DISE-1312,"TALLER DIGITAL",3
DISE-2200,"CULTURAS VISUALES",3
DISE-2306,"PRODUCTO 1",3
DISE-2307,"PRODUCTO 2",3
DISE-2308,"PRODUCTO 3",3
DISE-2309,"PRODUCTO 4",3
DISE-2356,"COMUNICACIÓN 1",3
DISE-2357,"COMUNICACIÓN 2",3
DISE-2358,"COMUNICACIÓN 3",3
DISE-2359,"COMUNICACIÓN 4",3
DISE-2616,"FOTOGRAFÍA 2: PERSONAS",3
DISE-3205,"HISTORIA DEL DISEÑO 2",3
DISE-3207,"ALIMENTOS OPORTUN. EMPRENDED.",3
DISE-3246,"EMPATHY LAB",3
DISE-3349,"VIDEOJUEGOS: HISTORIA Y DISEÑO",3
DISE-3358,"CIENCIA SEXY: COM. EFECTIVA",3
DISE-3437,"DISEÑO, MATERIALES Y PROCESOS",3
DMIN-5201,"NEGOCIOS Y HERRAMIENTAS JUR.",5
DMIN-5202,"SECTOR MINERO-ENERGÉTICO",4
DPRO-4101,"INGENIERIA COMPUTACIONAL",4
DPRO-4201,"BIOPROCESOS OBTENCION ENERGIA",4
DPRO-4302,"DISEÑO DE SISTEMAS COLOIDALES",4
DPUB-4300,"REGULACIÓN DE SERVICIOS PÚBLIC",4
DPUB-4401,"TRABAJO DE GRADO",6
